itemLabel,short_authorLabel
Biology of Zika Virus Infection in Human Skin Cells,Loïc Talignani
Biology of Zika Virus Infection in Human Skin Cells,Sineewanlaya Wichit
Biology of Zika Virus Infection in Human Skin Cells,Manuel Perera-Lecoin
Biology of Zika Virus Infection in Human Skin Cells,Ali Amara
Biology of Zika Virus Infection in Human Skin Cells,Frédéric Thomas
"Detection of Zika Virus Infection in Thailand, 2012-2014",Ananda Nisalak
Zika: another sexually transmitted infection?,Alfonso J. Rodríguez-Morales
A bibliometric analysis of global Zika research,Alfonso J. Rodríguez-Morales
A bibliometric analysis of global Zika research,Jaime A. Cardona-Ospina
A bibliometric analysis of global Zika research,Alberto E Paniz-Mondolfi
Zika virus: following the path of dengue and chikungunya?,Didier Musso
Zika virus: following the path of dengue and chikungunya?,Van-Mai Cao-Lormeau
Zika virus: following the path of dengue and chikungunya?,Duane J. Gubler
Zika: the new arbovirus threat for Latin America,Alfonso J. Rodríguez-Morales
Detection of Zika virus in saliva,Didier Musso
Detection of Zika virus in saliva,Van-Mai Cao-Lormeau
Detection of Zika virus in saliva,Anita Teissier
Detection of Zika virus in saliva,Claudine Roche
Detection of Zika virus in saliva,Emilie Robin
Detection of Zika virus in saliva,Tu-Xuan Nhan
"Zika virus infection in a traveller returning to Europe from Brazil, March 2015",Stephan Günther
"Zika virus infection in a traveller returning to Europe from Brazil, March 2015",Jonas Schmidt-Chanasit
"Zika virus infection in a traveller returning to Europe from Brazil, March 2015",Dennis Tappe
"Zika virus infection in a traveller returning to Europe from Brazil, March 2015",Giulietta Venturi
First report of autochthonous transmission of Zika virus in Brazil,Claudia Nunes Duarte Dos Santos
First report of autochthonous transmission of Zika virus in Brazil,Camila Zanluca
First report of autochthonous transmission of Zika virus in Brazil,Ana Luiza Pamplona Mosimann
"Acute Zika virus infection after travel to Malaysian Borneo, September 2014",Stephan Günther
"Acute Zika virus infection after travel to Malaysian Borneo, September 2014",Jonas Schmidt-Chanasit
"Acute Zika virus infection after travel to Malaysian Borneo, September 2014",Dennis Tappe
Zika Virus Infection in Australia Following a Monkey Bite in Indonesia,Julian Druce
Zika Virus Infection in Australia Following a Monkey Bite in Indonesia,Nicholas M Anstey
Potential sexual transmission of Zika virus,Didier Musso
Potential sexual transmission of Zika virus,Van-Mai Cao-Lormeau
Potential sexual transmission of Zika virus,Anita Teissier
Potential sexual transmission of Zika virus,Claudine Roche
Potential sexual transmission of Zika virus,Emilie Robin
Potential sexual transmission of Zika virus,Tu-Xuan Nhan
"Co-infection with Zika and dengue viruses in 2 patients, New Caledonia, 2014",Myrielle Dupont-Rouzeyrol
"Co-infection with Zika and dengue viruses in 2 patients, New Caledonia, 2014",Olivia O'Connor
"Co-infection with Zika and dengue viruses in 2 patients, New Caledonia, 2014",Elodie Calvez
"Co-infection with Zika and dengue viruses in 2 patients, New Caledonia, 2014",Jean-Paul Grangeon
"Co-infection with Zika and dengue viruses in 2 patients, New Caledonia, 2014",Ann-Claire Gourinat
"Zika virus infections imported to Italy: clinical, immunological and virological findings, and public health implications",Stephan Günther
"Zika virus infections imported to Italy: clinical, immunological and virological findings, and public health implications",Jonas Schmidt-Chanasit
